# krno	tit	no of sp	uniq sp
KR1j0040	說文字原-元-周伯琦	14933	3112
KR1j0042	漢隸分韻--闕名	27254	2321
KR1j0043	六書本義-明-趙撝謙	42375	6229
KR1j0044	奇字韻-明-楊愼	12439	4532
KR1j0045	古音駢字-明-楊愼	33607	8360
KR1j0046	俗書刋誤-明-焦竑	17487	5054
KR1j0047	字㝈-明-葉秉敬	13175	2630
KR1j0048	御定康熙字典-清-張玉書	1717520	35576
KR1j0052	隸辨-清-顧藹吉	192319	10671
KR1j0053	篆隸考異-清-周靖	1227	607
KR1j0054	原本廣韻--闕名	171486	20044
KR1j0055	重修廣韻-宋-陳彭年	177988	20577
KR1j0056	大廣益會玉篇-宋-	156433	18212
KR1j0057	集韻-宋-丁度	275110	24575
KR1j0058	切韻指掌圖-宋-司馬光	2011	837
KR1j0059	韻補-宋-吳棫	75514	9716
KR1j0060	附釋文互註禮部韻略-宋-丁度	120397	12598
KR1j0061	增修互註禮部韻略-宋-毛晃	263192	17436
KR1j0062	增修校正押韻釋疑-宋-歐陽德隆	170887	15030
KR1j0063	九經補韻-宋-楊伯嵒	3245	1245
KR1j0064	五音集韻-金-韓道昭	292744	26341
KR1j0065	古今韻會擧要-元-黃公紹	508308	22324
KR1j0066	四聲全形等子--闕名	790	406
KR1j0067	經史正音切韻指南-元-劉鑑	1023	501
KR1j0068	洪武正韻-明-樂韶鳳	238259	17777
KR1j0069	古音叢目-明-楊愼	70277	8925
KR1j0070	古音略例-明-楊愼	6706	2463
KR1j0071	轉注古音略-明-楊愼	46829	7923
KR1j0073	屈宋古音義-明-陳第	44577	6480
KR1j0074	御定音韻闡微-清-李光地	207100	17988
KR1j0075	欽定同文韻統-清-允祿	17104	2830
KR1j0076	欽定叶韻彙輯-清-梁詩正	388289	20193
KR1j0077	欽定音韻述微-清-梁國治	287328	20859
KR1j0078	音論-清-顧炎武	13256	2982
KR1j0079	詩本音-清-顧炎武	51454	5172
KR1j0080	易音-清-顧炎武	11111	2135
KR1j0081	唐韻正-清-顧炎武	240615	14100
KR1j0082	古音表-清-顧炎武	719	437
KR1j0083	韻補正-清-顧炎武	6196	2626
KR1j0084	古今通韻-清-毛奇齡	216244	19945
KR1j0085	易韻-清-毛奇齡	16377	3097
KR1j0086	孫氏唐韻考-清-紀容舒	34040	9204
KR1j0087	古韻標準-清-江永	76769	7750
KR1j0088	六藝綱目-元-舒天民	27049	5027
KR3a0001	孔子家語-魏-王肅	53784	6876
KR3a0002	荀子-周-荀況	121798	9171
KR3a0003	孔叢子-漢-孔鮒	30092	5508
KR3a0004	新語-漢-陸賈	8356	2781
KR3a0005	新書-漢-賈誼	39166	5837
KR3a0006	鹽鐵論-漢-桓寬	136001	10780
KR3a0007	說苑-漢-劉向	80907	8168
KR3a0008	新序-漢-劉向	36336	5707
KR3a0009	揚子法言-漢-揚雄	67497	7448
KR3a0010	潛夫論-漢-王符	35557	6195
KR3a0011	申鑒-漢-荀悅	19955	4577
KR3a0012	中論-漢-徐幹	17351	4141
KR3a0013	傅子-晉-傅玄	7186	2378
KR3a0014	中說-隋-王通	38297	5574
KR3a0015	孫子集注-宋-	96810	6927
KR3a0016	帝範-唐-太宗	25187	5382
KR3a0017	續孟子-唐-林愼思	3736	1403
KR3a0018	伸蒙子-唐-林愼思	5788	1718
KR3a0019	素履子-唐-張弧	3931	1662
KR3a0020	家範-宋-司馬光	30488	5834
KR3a0021	帝學-宋-范祖禹	23247	5047
KR3a0022	儒志編-宋-王開祖	9785	2871
KR3a0023	太極圖說述解-明-曹端	5351	1435
KR3a0025	通書述解-明-曹端	16324	3396
KR3a0026	張子全書-宋-張戴	106374	8644
KR3a0027	張子語錄-宋-張載	10846	2721
KR3a0028	注解正蒙-清-李光地	30436	4364
KR3a0029	正蒙初義-清-王植	118703	7384
KR3a0030	二程遺書-宋-程顥	110089	9386
KR3a0031	二程外書-宋-程顥	27584	5437
KR3a0032	二程粹言-宋-楊時	30458	5190
KR3a0033	程氏家塾讀書分年日程-元-程端禮	37670	5752
KR3a0034	公是第子記-宋-劉敞	12980	3017
KR3a0035	節孝語錄-宋-徐積	9251	2855
KR3a0036	儒言-宋-晁說之	5680	2122
KR3a0037	童蒙訓-宋-呂本中	12276	3390
KR3a0038	省心雜言-宋-李邦獻	7149	2428
KR3a0039	上蔡語錄-宋-謝良佐	11706	2913
KR3a0040	袁氏世範-宋-袁采	20125	3955
KR3a0041	延平答問-宋-朱熹	13542	3317
KR3a0042	近思錄-宋-朱熹	71713	7255
KR3a0043	近思錄集註-清-茅星來	263676	12481
KR3a0045	雜學辨-宋-朱熹	11287	2771
KR3a0046	御定小學集駐-宋-朱熹	57706	7376
KR3a0047	朱子語類-宋-黎靖德	1167881	16658
KR3a0048	戒子通錄-宋-劉清之	52465	8486
KR3a0049	知言-宋-胡宏	19366	4133
KR3a0050	明本釋-宋-劉荀	36500	6421
KR3a0051	少儀外傳-宋-呂祖謙	21035	5320
KR3a0052	麗澤論說集錄-宋-呂祖謙	77687	8051
KR3a0053	曾子全書-宋-王晫	12564	3123
KR3a0054	子思子全書-宋-王晫	8814	2605
KR3a0055	邇言-宋-劉炎	15829	4007
KR3a0056	木鍾集-宋-陳植	79167	8236
KR3a0057	經濟文衡-宋-朱熹	195419	11387
KR3a0058	大學衍義-宋-眞德秀	200309	12397
KR3a0059	西山讀書記-宋-眞德秀	507061	13847
KR3a0060	心經-宋-眞德秀	5283	1803
KR3a0061	政經-宋-眞德秀	12991	3448
KR3a0062	項氏家說-宋-項安世	45811	7007
KR3a0063	先聖大訓-宋-楊簡	100717	8511
KR3a0064	黃氏日抄-宋-黃震	818886	18970
KR3a0066	準齋雜說-宋-吳如愚	10884	2548
KR3a0067	性理羣書句解-宋-熊節	121876	9718
KR3a0068	東宮備覽-宋-陳模	10809	3105
KR3a0069	孔子集語-宋-薛據	13072	3598
KR3a0070	朱子讀書法-宋-張洪	32053	4569
KR3a0071	家山圖書-宋-闕名	6839	2080
KR3a0072	讀書分年日程-元-程端禮	32312	5460
KR3a0073	辨惑編-元-謝應芳	24884	5790
KR3a0074	治世龜鑑-元-蘇天爵	8570	3046
KR3a0075	管窺外篇-元-史伯璿	43966	5685
KR3a0076	內訓-明-仁孝文皇后徐氏	13943	3385
KR3a0077	理學類編-明-張九韶	41351	5899
KR3a0078	性理大全書-明-胡廣	630075	15220
KR3a0079	讀書錄-明-薛瑄	95162	7525
KR3a0080	大學衍義補-明-丘濬	732460	17191
KR3a0081	居業錄-明-胡居仁	41366	5484
KR3a0082	楓山語錄-明-章懋	10267	3403
KR3a0083	東溪日談錄-明-周琦	53493	7354
KR3a0084	因知記-明-羅欽訓	39644	5760
KR3a0085	讀書劄記-明-徐問	32698	6497
KR3a0086	士翼-明-崔銑	31680	5615
KR3a0087	涇野子內篇-明-呂柟	100009	9003
KR3a0089	周子抄釋-明-呂柟	12995	3337
KR3a0090	張子抄釋-明-呂柟	33798	5608
KR3a0091	二程子抄釋-明-呂柟	64345	8171
KR3a0092	朱子抄釋-明-呂柟	13275	3075
KR3a0093	中庸衍義-明-夏良勝	213694	13256
KR3a0094	格物通-明-湛若水	367591	14195
KR3a0095	世緯-明-袁衮	11807	3479
KR3a0096	呻吟語摘-明-呂坤	29052	5548
KR3a0099	榕壇問業-明-黃道周	118752	10015
KR3a0100	溫氏母訓-明-溫璜	3386	1474
KR3a0101	御定資政要覽-清-世祖	32602	5988
KR3a0102	聖論廣訓-清-聖祖	8765	2790
KR3a0103	聖祖仁皇帝庭訓格言-清-世宗胤禛	21157	4864
KR3a0104	日知薈說-清-高宗弘曆	32049	5980
KR3a0105	御定孝經衍義-清-葉方藹	508004	16590
KR3a0106	御定內則衍義-清-世祖	107598	10338
KR3a0107	御纂性理精義-清-李光地	95734	8758
KR3a0108	御纂朱子全書-宋-朱熹	680219	16028
KR3a0109	欽定執中成憲-清-雍正	49450	7074
KR3a0110	御覽經史講義-清-蔣溥	416355	12983
KR3a0111	思辨錄輯要-清-陸世儀	137057	10603
KR3a0112	正學隅見述-清-王宏	12700	2823
KR3a0113	雙橋隨筆-清-周召	67742	10108
KR3a0114	榕村語錄-清-李光地	206290	12086
KR3a0115	讀朱隨筆-清-陸隴其	34884	5448
KR3a0116	三魚堂賸言-清-陸隴其	26826	5538
KR3a0117	松陽鈔存-清-陸隴其	14999	3590
KR3a0118	讀書偶記-清-雷鈜	24733	4995
KR3b0001	握奇經-漢-公孫宏	2192	805
KR3b0002	六韜-周-呂望	12940	2643
KR3b0003	孫子-周-孫武	5431	1655
KR3b0004	吳子-周-吳起	3730	1321
KR3b0005	司馬法-周-司馬穰苴	2821	956
KR3b0006	尉繚子-周-尉繚	7760	2007
KR3b0007	黃石公三畧-秦-黃石公	3670	1364
KR3b0008	三畧直解-明-劉寅	11077	2511
KR3b0009	黃石公素書-秦-黃石公	4734	1697
KR3b0010	李衞公問對-唐-李靖	8285	2170
KR3b0011	太白陰經-唐-李筌	30671	5449
KR3b0012	武經總要-宋-曾公亮	270804	12078
KR3b0013	虎鈴經-宋-許洞	55931	6199
KR3b0014	何博士備論-宋-何去非	20294	3689
KR3b0015	守城錄-宋-陳規	14685	2818
KR3b0016	武編-明-唐順之	225947	12576
KR3b0017	陣紀-明-何良臣	25728	4337
KR3b0018	江南經畧-明-鄭若曾	155924	9409
KR3b0019	紀效新書-明-戚繼光	54735	5260
KR3c0001	管子-周-管仲	144655	8609
KR3c0002	管子補注-明-劉績	153101	8914
KR3c0003	鄧析子-周-鄧析	2829	1261
KR3c0004	商子-秦-商鞅	15593	2614
KR3c0005	韓非子-周-韓非	91534	7276
KR3c0006	疑獄集-五代-和凝	27444	4944
KR3c0007	折獄龜鑑-宋-鄭克	47094	6191
KR3c0008	棠陰比事-宋-桂萬榮	14673	3521
KR3d0001	齊民要術-後魏-賈思勰	89269	7416
KR3d0002	農書-宋-陳旉	10084	2923
KR3d0003	農桑輯要-元-司農司	52472	5458
KR3d0004	農桑衣食撮要-元-魯明善	8643	1840
KR3d0005	農書-元-王禎	98271	9463
KR3d0006	救荒本草-明-朱橚	37501	2994
KR3d0007	農政全書-明-徐光啟	330072	14186
KR3d0008	秦西水法-明-西洋熊三拔	18775	2853
KR3d0009	野菜博錄-明-鮑山	14293	1347
KR3d0010	欽定授時通考-清-鄂爾泰	391555	15713
KR3e0001	黃帝內經素問-唐-王冰	224908	7578
KR3e0002	靈樞經-唐-王冰	54608	4140
KR3e0003	王翰林集註黃帝八十一難經-明-	47094	3556
KR3e0004	難經本義-周-秦越人	33272	3796
KR3e0005	鍼灸甲乙經-晉-皇甫謐	95360	4730
KR3e0006	金匱要畧論註-漢-張機	85299	4900
KR3e0007	新編金匱要略方論-漢-	25516	2661
KR3e0008	傷寒論注釋-漢-張機	72437	4120
KR3e0009	新刊王氏脈經-晉-	59842	3695
KR3e0010	肘後備急方-晉-葛洪	65540	4847
KR3e0011	褚氏遺書-南齊-褚澄	3190	1248
KR3e0013	備急千金要方-唐-孫思邈	342113	8950
KR3e0014	銀海精微-唐-孫思邈	35905	3087
KR3e0015	外臺秘要方-唐-王燾	526269	9500
KR3e0016	顱顖經-宋-闕名	4720	1438
KR3e0017	銅人鍼灸經-宋-闕名	11944	1971
KR3e0018	明堂灸經--西方子	18281	1675
KR3e0019	博濟方-宋-王袞	44891	3696
KR3e0020	蘇沈良方-宋-蘇軾	25998	4273
KR3e0021	壽親養老新書-宋-陳直	55247	7058
KR3e0022	腳氣治法總要-宋-董汲	8329	2006
KR3e0023	旅舍備要方-宋-董汲	3789	1314
KR3e0024	素問入式運氣論奧-宋-劉溫舒	29366	3436
KR3e0025	傷寒微旨論-宋-韓祗和	13993	2118
KR3e0026	傷寒總病論-宋-龐安時	35992	3858
KR3e0027	聖濟總錄纂要-宋-徽宗	181948	6128
KR3e0028	證類本草-宋-唐愼微	543347	12902
KR3e0029	重修政和經史證類備用本草-宋-	463995	12302
KR3e0030	金生指迷方-宋-王貺	12974	2250
KR3e0031	小兒衞生總散論方-宋-闕名	125937	5353
KR3e0032	類證普濟本事方-宋-許叔微	34985	4362
KR3e0034	傳信適用方-宋-吳彥夔	27475	3328
KR3e0035	衞濟寶書-宋-東軒居士	7534	1985
KR3e0036	醫說-宋-張杲	92696	9042
KR3e0037	鍼灸資生經-宋-王執中	94059	4845
KR3e0038	婦人大全良方-宋-陳自明	140152	6834
KR3e0039	太醫局諸科程文格-宋-何大任	53126	4755
KR3e0040	產育寶慶集-宋-陳師聖	11958	2442
KR3e0041	三因極一病證方論-宋-陳言	111656	6133
KR3e0042	集驗背疽方-宋-李迅	6784	1812
KR3e0043	濟生方-宋-嚴用和	22492	2999
KR3e0044	產寶諸寶-宋-闕名	5679	1486
KR3e0046	急救仙方--闕名	11517	2097
KR3e0047	素問玄機原病式-金-劉完素	19438	2824
KR3e0048	宣明方論-金-劉完素	37810	3399
KR3e0050	保命集-金-張元素	40206	4121
KR3e0051	儒門事親-金-張從正	109522	7261
KR3e0052	內外傷辯惑論-元-李杲	14814	2470
KR3e0053	脾胃論-元-李杲	27460	3201
KR3e0054	蘭室祕藏-元-李杲	35752	3213
KR3e0055	此事難知-元-王好古	21498	3110
KR3e0056	醫壘元戎-元-王好古	97762	5535
KR3e0057	湯液本章-元-王好古	34864	3355
KR3e0058	瑞竹堂經驗方-元-沙圖穆蘇	14969	2335
KR3e0059	世醫得效方-元-危亦林	233759	7357
KR3e0060	格致餘論-元-朱震亨	18099	3639
KR3e0061	局方發揮-元-朱震亨	10459	2368
KR3e0062	金匱鈎玄-元-朱震亨	19631	2875
KR3e0063	扁鵲神應鍼灸玉龍經-元-王國瑞	17032	2252
KR3e0064	外科精義-元-齊德之	24221	3274
KR3e0065	脉訣刊誤-元-戴啟宗	36519	4062
KR3e0066	醫經溯洄集-元-王履	21724	3163
KR3e0067	普濟方-明-朱橚	4806178	16822
KR3e0068	玉機微義-明-徐用誠	210886	7631
KR3e0069	仁端錄-明-徐謙	129812	5518
KR3e0070	薛氏醫案-明-薛己	660139	9009
KR3e0071	推求師竟-明-戴原禮	18464	3124
KR3e0072	針灸問對-明-汪機	35222	3852
KR3e0073	外料理例-明-汪機	91197	5043
KR3e0074	石山醫案-明-陳桷	40857	4658
KR3e0075	名醫類案-明-江瓘	244281	10003
KR3e0076	赤水元珠-明-孫一奎	420116	9355
KR3e0077	醫旨緒餘-明-孫一奎	42798	5229
KR3e0078	證治準繩-明-王肯堂	1560279	13020
KR3e0079	本草綱目-明-李時珍	1193054	16014
KR3e0080	奇經八脉攷-明-李時珍	10265	1913
KR3e0081	瀕湖脉學-明-李時珍	10357	1895
KR3e0082	傷寒論條辦-明-方有執	91308	6275
KR3e0083	先醒齋廣筆記-明-繆希雍	66189	5288
KR3e0084	神農本草經疏-明-繆希雍	238722	7479
KR3e0086	景岳全書-明-張介賓	697442	10786
KR3e0087	瘟疫論-明-吳有性	27412	3503
KR3e0088	痎瘧論疏-明-廬之頤	16061	2300
KR3e0089	本草乘雅半偈-明-廬之頤	156880	10168
KR3e0090	御纂醫宗金鑑-清-吳謙	1402364	9924
KR3e0091	尚論篇-清-喻昌	114907	6314
KR3e0093	傷寒舌鑑-清-張登	1247	551
KR3e0094	傷寒兼證析義-清-張倬	22061	3205
KR3e0095	絳雪園古方選註-清-王子接	70247	5117
KR3e0096	續名醫類案-清-魏之琇	537718	12105
KR3e0097	蘭臺軌範-清-徐大椿	85549	5300
