# krno	tit	no of sp	uniq sp
KR3j0038	容齋隨筆-宋-洪邁	262438	15934
KR3j0039	攷古編-宋-程大昌	27856	5417
KR3j0040	演繁露-宋-程大昌	76755	9711
KR3j0041	緯略-宋-高似孫	71728	10116
KR3j0042	甕牖閒評-宋-袁文	30395	6060
KR3j0043	芥隱筆記-宋-龔頤正	9185	3216
KR3j0045	野客叢書-宋-王楙	106493	11042
KR3j0046	坦齋通編-宋-邢凱	5596	2401
KR3j0047	攷古質疑-宋-葉大慶	25807	5368
KR3j0048	經外雜抄-宋-魏了翁	16304	4759
KR3j0050	潁川語小-宋-陳叔方	10804	3416
KR3j0051	賓退錄-宋-趙與旹	52130	9168
KR3j0052	學齋佔畢-宋-史繩祖	26027	5375
KR3j0053	鼠璞-宋-戴埴	17448	4737
KR3j0054	朝野類要-宋-趙升	9902	2428
KR3j0055	果學紀聞-宋-王應麟	171347	13401
KR3j0056	識遺-宋-羅璧	49383	8111
KR3j0057	愛日齋叢抄-宋-葉□	40804	7681
KR3j0058	日損齋筆記-元-黃溍	7828	2834
KR3j0060	譚苑醍醐-明-楊愼	36297	7203
KR3j0061	藝彀-明-鄧伯羔	18887	5335
KR3j0062	正楊-明-陳耀文	46272	7775
KR3j0063	疑耀-明-張萱	55357	8534
KR3j0064	名義考-明-周祈	59558	8505
KR3j0065	徐氏筆精-明-徐𤊹	57369	9213
KR3j0066	通雅-明-方以智	495715	21724
KR3j0067	巵林-明-周嬰	108902	11488
KR3j0068	拾遺錄-明-胡爌	16015	4304
KR3j0069	義府-清-黃生	31113	5808
KR3j0070	日知錄-清-顧炎武	340661	16535
KR3j0072	潛邱劄記-清-閻若璩	84261	10129
KR3j0073	湛園札記-清-姜宸英	32944	6873
KR3j0074	白田雜著-清-王懋竑	63151	7197
KR3j0075	樵香小記-清-何琇	7882	2610
KR3j0076	義門讀書記-清-何焯	350972	16590
KR3j0077	管城碩記-清-徐文靖	183796	14099
KR3j0078	訂譌雜錄-清-胡鳴玉	37457	6762
KR3j0079	識小織-清-董豐垣	17050	3217
KR3j0080	論衡-漢-王充	163376	9949
KR3j0081	風俗通義-漢-應劭	28357	6104
KR3j0082	羣書治要-唐-	334206	12864
KR3j0083	封氏聞見記-唐-封演	20090	5018
KR3j0084	尚書故實-唐-李綽	5970	2360
KR3j0085	灌畦暇語-唐-闕名	6861	2657
KR3j0086	春明退朝錄-宋-宋敏求	15444	3393
KR3j0087	宋景文筆記-宋-宋祁	9050	3150
KR3j0088	東原錄-宋-龔鼎臣	8675	3152
KR3j0089	王氏談錄-宋-王欽臣	6572	2483
KR3j0090	麈史-宋-王得臣	23868	5890
KR3j0091	文昌雜錄-宋-龐元英	23658	5139
KR3j0092	夢溪筆談-宋-沈括	66059	8939
KR3j0093	仇池筆記-宋-蘇軾	6892	2675
KR3j0094	東坡志林-宋-蘇軾	31893	6770
KR3j0095	珩璜新論-宋-孔平仲	17642	4912
KR3j0096	晁氏客語-宋-晁說之	11696	3603
KR3j0097	師友談記-宋-李廌	8883	3086
KR3j0098	楊公筆錄-宋-楊彥齡	6841	2840
KR3j0099	呂氏雜記-宋-呂希哲	12831	4028
KR3j0100	冷齋夜話-宋-釋惠洪	19260	4702
KR3j0101	苗洧舊聞-宋-朱辨	28737	6233
KR3j0102	元城語錄解-宋-馬永卿	22897	5145
KR3j0103	嬾眞子-宋-馬永卿	21121	5341
KR3j0104	春渚紀聞-宋-何薳	37465	6509
KR3j0105	石林燕語-宋-葉夢得	40347	6197
KR3j0106	避暑錄話-宋-葉夢得	41907	7266
KR3j0107	巖下放言-宋-葉夢得	11116	3488
KR3j0108	却掃編-宋-徐度	22326	4833
KR3j0109	五總志-宋-吳坰	8204	3145
KR3j0110	紫微雜說-宋-呂本中	11857	3417
KR3j0111	辯言-宋-員興宗	5294	1771
KR3j0112	墨莊漫錄-宋-張邦基	47431	8238
KR3j0113	寓簡-宋-沈作喆	29847	6900
KR3j0114	欒城遺言-宋-蘇籀	3584	1692
KR3j0115	東園叢說-宋-李如箎	23560	5132
KR3j0116	常談-宋-吳箕	8915	3191
KR3j0117	雲麓漫抄-宋-趙彥衞	66079	9803
KR3j0118	示兒編-宋-孫奕	79216	10894
KR3j0119	游宧紀聞-宋-張世南	25641	6380
KR3j0120	密齋筆記-宋-謝采伯	20387	5788
KR3j0121	梁谿漫志-宋-費袞	33144	6725
KR3j0122	澗泉日記-宋-韓淲	13366	3918
KR3j0123	老學庵筆記-宋-陸游	38004	7168
KR3j0124	愧郯錄-宋-岳珂	53551	7150
KR3j0125	袪疑說-宋-儲泳	8449	2421
KR3j0126	琴堂諭俗編-宋-鄭玉道	16707	4330
KR3j0127	鶴林玉露-宋-羅大經	69199	10109
KR3j0128	貴耳集-宋-張端義	26584	6080
KR3j0129	吹劍錄外集-宋-俞文豹	17549	4938
KR3j0130	腳氣集-宋-車若水	13162	3792
KR3j0131	藏一話腴-宋-陳郁	15087	4687
KR3j0132	佩韋齋輯聞-宋-俞德鄰	16403	4828
KR3j0133	書齋夜話-宋-俞琰	9935	3074
KR3j0135	困學齋雜錄-元-鮮于樞	6917	2757
KR3j0136	隱居通義-元-劉壎	114523	12698
KR3j0137	湛淵靜語-元-白挺	17486	4940
KR3j0139	日聞錄-元-李翀	7138	2745
KR3j0140	勤有堂隨錄-元-陳櫟	2209	1159
KR3j0141	玉堂嘉話-元-王惲	31338	6974
KR3j0142	庶齋老學叢談-元-盛如梓	20069	5680
KR3j0143	研北雜誌-元-陸友	20374	5423
KR3j0144	北軒筆記-元-陳世隆	8186	3121
KR3j0145	閒居錄-元-吾丘衍	6380	2485
KR3j0146	雪履齋筆記-元-郭翼	4280	2065
KR3j0147	霏雪錄-明-鎦績	18159	5087
KR3j0148	蠡海集-明-王逵	14865	2719
KR3j0149	草木子-明-葉子奇	29068	6441
KR3j0150	胡文穆雜著-明-胡廣	10949	3512
KR3j0151	讕言長語-明-曹安	18888	5266
KR3j0152	蟫精雋-明-徐伯齡	49326	8792
KR3j0153	震澤長語-明-王鏊	19848	5154
KR3j0154	井觀瑣言-明-鄭瑗	9741	3213
KR3j0155	南園漫錄-明-張志淳	29870	5918
KR3j0156	雨航雜錄-明-馮時可	13962	4294
KR3j0157	採芹錄-明-徐三重	28662	5811
KR3j0158	畫禪室隨筆-明-董其昌	27591	5174
KR3j0159	六研齋筆記-明-李日華	118442	12194
KR3j0160	物理小識-明-方以智	133366	10740
KR3j0161	春明夢餘錄-清-孫承澤	516795	17904
KR3j0162	居易錄-清-王士禛	199105	15353
KR3j0163	池北偶談-清-王士禛	164487	14358
KR3j0164	香祖筆記-清-王士禛	73590	10582
KR3j0165	分甘餘話-清-王士禛	23979	6129
KR3j0166	古夫于亭雜錄-清-王士禛	29541	6929
KR3j0167	洞天清錄-宋-趙希鵠	12041	3037
KR3j0168	負暄野錄-宋-陳槱	5736	2197
KR3j0169	雲烟過眼錄-宋-周密	14817	3629
KR3j0170	格古要論-明-曹昭	10305	2364
KR3j0171	竹嶼山房雜部-明-宋詡	94546	6318
KR3j0172	遵生八牋-明-高濂	241734	13596
KR3j0173	清祕藏-明-張應文	14755	3612
KR3j0174	長物志-明-文震亨	23514	4182
KR3j0175	韻石齋筆談-清-姜紹書	12772	3743
KR3j0176	七頌堂識小錄-清-劉體仁	3707	1606
KR3j0177	硯山齋雜記-清-孫承澤	32081	5976
KR3j0178	意林-唐-馬總	35287	6573
KR3j0179	紺珠集-宋-朱勝非	79687	9931
KR3j0180	類說-宋-曾慥	340468	16532
KR3j0181	事實類苑-宋-江少虞	227203	14734
KR3j0182	仕學規範-宋-張鎡	81409	10047
KR3j0183	自警編-宋-趙善璙	113576	10404
KR3j0184	言行龜鑑-元-張光祖	40941	7245
KR3j0185	說孚-明-陶宗儀	2266864	25078
KR3j0187	元明事類鈔-清-姚之駰	263761	15387
KR3j0188	儼山外集-明-陸深	90056	11308
KR3j0189	古今說海-明-陸楫	288052	16484
KR3j0190	少室山房筆叢-明-胡應麟	163811	12572
KR3j0191	鈍吟雜錄-清-馮班	28346	5127
KR3j0192	新論-漢-桓譚	12922	3732
KR3k0001	古今同姓名錄-梁-元帝	9913	2265
KR3k0003	藝文類聚-唐-歐陽詢	738495	19240
KR3k0004	北堂書鈔-唐-虞世南	651837	18021
KR3k0005	龍筋鳳髓判-唐-張鷟	61984	8688
KR3k0006	初學記-唐-徐堅	398292	17444
KR3k0007	元和姓纂-唐-林寶	83045	6099
KR3k0008	白孔六帖-唐-白居易	1550971	8467
KR3k0009	小名錄-唐-陸龜蒙	11853	3555
KR3k0010	蒙求集註-唐-李瀚	67325	8688
KR3k0011	事類賦-宋-吳淑	211684	13968
KR3k0012	太平御覽-宋-李昉	3817621	10775
KR3k0013	册府元龜-宋-王欽若	8422514	9690
KR3k0014	事物紀原-宋-高承	96586	9423
KR3k0015	實賓錄-宋-馬永易	60922	8784
KR3k0016	書敘指南-宋-任廣	77580	8754
KR3k0017	海錄碎事-宋-葉庭珪	242491	15449
KR3k0018	古今姓氏書辯證-宋-鄧名世	126200	8965
KR3k0019	帝王經世圖譜-宋-唐仲友	63418	6863
KR3k0020	職官分紀-宋-孫逢吉	591389	16307
KR3k0021	歷代制度詳說-宋-呂祖謙	46405	6665
KR3k0022	八面鋒-宋-陳傅良	36515	5994
KR3k0023	錦繡萬花谷-宋-闕名	447508	18503
KR3k0025	記纂淵海-宋-潘自牧	1429662	8500
KR3k0027	羣書會元截江網-宋-闕名	222438	13412
KR3k0028	全芳備祖集-宋-陳景沂	220664	12920
KR3k0029	羣書考索-宋-章如愚	1662815	6770
KR3k0030	古今合璧事類備要-宋-謝維新	2375273	9976
KR3k0031	古今源流至論-宋-林駧	394141	14897
KR3k0033	小學紺珠-宋-王應麟	87215	9407
KR3k0034	姓氏急就篇-宋-王應麟	52422	5116
KR3k0035	小字錄-宋-陳思	9858	2717
KR3k0036	雞肋-宋-趙崇絢	2518	1280
KR3k0037	六帖補-宋-楊伯喦	51914	8673
KR3k0038	翰苑新書-宋-闕名	819629	18483
KR3k0039	韻府羣玉-元-陰勁弦	826088	22405
KR3k0040	純正蒙求-元-胡炳文	23885	5411
KR3k0041	氏族大全-元-闕名	190909	13185
KR3k0042	名疑-明-陳士元	40232	5723
KR3k0045	喻林-明-徐元太	700886	18235
KR3k0046	經濟類編-明-馮琦	2137597	8155
KR3k0047	同姓名錄-明-余寅	117119	10451
KR3k0048	說畧-明-顧起元	269859	16993
KR3k0049	天中記-明-陳耀文	1624089	9368
KR3k0050	圖書編-明-章潢	2210917	8594
KR3k0051	駢志-明-陳禹謨	224171	14720
KR3k0053	古儷府-明-王志慶	325180	15859
KR3k0054	廣博物志-明-董斯張	538471	19504
KR3k0055	御定淵鑑類函-清-張英	7382836	12258
KR3k0056	御定駢字類編-清-吳士玉	8729428	12989
KR3k0057	御定分類字錦-清-何焯	2612362	10429
KR3k0058	御定子史精華-清-吳士玉	2305064	9799
KR3k0060	御定韻府拾遺-清-聖祖玄燁	1483853	10543
KR3k0061	格致鏡原-清-陳元龍	772143	20855
KR3k0062	讀書紀數略-清-宮夢仁	241292	15424
KR3k0063	花木鳥獸集類-清-吳寶芝	48179	8102
KR3k0064	別號錄-清-葛萬里	25548	3006
KR3k0065	宋稗類鈔-清-潘永因	249130	15696
KR3l0001	西京雜記-漢-劉歆	11056	3597
KR3l0002	世說新語-劉宋-劉義慶	127631	10368
KR3l0003	朝野僉載-唐-張鷟	32109	6129
KR3l0004	唐新語-唐-劉肅	51101	7891
KR3l0005	次柳氏舊聞-唐-李德裕	2989	1361
KR3l0006	唐國史補-唐-李肇	17126	4445
KR3l0007	劉賓客嘉話錄-唐-韋絢	6150	2469
KR3l0009	明皇雜錄-唐-鄭處誨	8302	2896
KR3l0010	大唐傳載-唐-闕名	5814	2527
KR3l0011	教坊記-唐-崔令欽	3041	1418
KR3l0012	幽閒鼓吹-唐-張固	2475	1242
KR3l0013	松窗雜錄-唐-李濬	2723	1329
KR3l0014	雲谿友議-唐-范攄	26041	5883
KR3l0015	玉泉子--闕名	9903	3063
KR3l0016	雲仙雜記-唐-馮贄	17826	4181
KR3l0017	唐摭言-五代-王定保	52042	8129
KR3l0019	金華子雜編-南唐-劉崇遠	9655	3426
KR3l0020	開元天寶遺事-五代-王仁裕	7516	2481
KR3l0021	鑒誡錄-後蜀-何光遠	29052	6216
KR3l0022	南唐近事-宋-鄭文寶	6922	2776
KR3l0023	北夢瑣言-宋-孫光憲	55634	7959
KR3l0024	賈氏譚錄-宋-張洎	2040	1138
KR3l0026	南部新書-宋-錢易	36932	7126
KR3l0027	丞相魏公譚訓-宋-	18860	4506
KR3l0028	王文正筆錄-宋-王曾	4267	1889
KR3l0029	儒林公議-宋-田况	18733	4702
KR3l0030	涑水記聞-宋-司馬光	72613	8215
KR3l0031	澠水燕談錄-宋-王闢之	25668	5822
KR3l0032	歸田錄-宋-歐陽修	11393	3383
KR3l0033	嘉祐雜誌-宋-江休復	8961	3275
KR3l0034	東齋記事-宋-范鎭	12902	3891
KR3l0035	青箱雜記-宋-吳處厚	21078	5318
KR3l0036	錢氏私志-宋-錢世昭	4060	1817
KR3l0038	後山談叢-宋-陳師道	14123	4024
KR3l0039	孫公談圃-宋-孫升	9513	3254
KR3l0040	談苑-宋-孔平仲	15833	4549
KR3l0041	畫墁錄-宋-張舜民	9840	3430
KR3l0045	湘山野綠-宋-釋文瑩	27720	5968
KR3l0046	王壺野史-宋-釋文瑩	33960	6588
KR3l0047	侯鯖錄-宋-趙令畤	26167	6197
KR3l0048	東軒筆錄-宋-魏泰	38771	6811
KR3l0049	泊宅編-宋-方勺	11547	3811
KR3l0050	珍席放談-宋-高晦叟	7429	2836
KR3l0051	鐵圍山叢談-宋-蔡絛	38744	6665
KR3l0052	國光談苑-宋-王君玉	5657	2242
KR3l0053	道山清話-宋-王暐	11827	3584
KR3l0054	墨客揮犀-宋-彭乘	19057	5070
KR3l0055	唐語林-宋-王讜	97128	11077
KR3l0056	楓窗小牘-宋-袁□	12278	4189
KR3l0057	南窗記談-宋-闕名	3681	1847
KR3l0058	過庭錄-宋-范公偁	12744	3694
KR3l0059	萍洲可談-宋-朱彧	18268	4643
KR3l0060	高齋漫錄-宋-曾慥	4496	1990
KR3l0061	默記-宋-王銍	17407	4344
KR3l0062	揮塵錄-宋-王明清	128050	12049
KR3l0063	玉照新志-宋-王明清	31044	6702
KR3l0064	投轄錄-宋-王明清	11713	3513
KR3l0065	張氏可書-宋-張知甫	3105	1554
KR3l0066	聞見錄-宋-邵伯溫	54062	7841
KR3l0067	清波雜誌-宋-周煇	43977	7815
KR3l0068	雞肋編-宋-莊綽	41289	8034
KR3l0069	聞見後錄-宋-邵博	66008	9452
KR3l0070	北牕炙輠錄-宋-施德操	16325	4186
KR3l0071	步里客談-宋-陳長方	3038	1497
KR3l0072	桯史-宋-岳珂	55854	8882
KR3l0073	獨醒雜誌-宋-曾敏行	29577	6377
KR3l0074	耆舊續聞-宋-陳鵠	23022	5663
KR3l0075	四朝聞見錄-宋-葉紹翁	59601	8217
KR3l0076	癸辛雜識-宋-周密	73119	9962
KR3l0077	隨隱漫錄-宋-陳世崇	15183	4642
KR3l0078	東南紀聞-元-闕名	10474	3807
KR3l0079	歸潛志-元-劉祁	53195	7814
KR3l0080	山房隨筆-元-蔣正子	5060	2226
KR3l0081	山居新話-元-楊瑀	15058	4448
KR3l0082	遂昌雜錄-元-鄭元祐	8147	2821
KR3l0084	輟耕錄-元-陶宗儀	141504	13648
KR3l0085	水東日記-明-葉盛	99263	11989
KR3l0086	菽園雜記-明-陸容	65372	9593
KR3l0087	先進遺風-明-耿定向	22054	5133
KR3l0088	觚不觚錄-明-王世貞	6923	2262
KR3l0089	語林-明-何良俊	256987	14709
KR3l0090	山海經-晉-郭璞	41700	5375
KR3l0091	山海經廣注-清-吳任臣	124007	9743
KR3l0092	穆天子傳-晉-郭璞	10635	2559
KR3l0093	神異經-漢-東方朔	2807	1127
KR3l0094	海內十洲記-漢-東方朔	3630	1534
KR3l0096	漢武帝內傳-漢-班固	2955	1356
KR3l0097	洞冥記-漢-郭憲	4831	1727
KR3l0098	拾遺記-前晉-王嘉	23621	4928
KR3l0099	搜神記-晉-干寶	45373	7069
KR3l0100	搜神後記-晉-陶潛	12457	3359
KR3l0101	異苑-劉宋-劉敬叔	22679	5064
KR3l0102	續齊諧記-梁-吳均	2750	1327
KR3l0103	還冤記-隋-顏之推	5650	2123
KR3l0104	集異記-唐-薛用弱	5190	2085
KR3l0106	杜陽雜編-唐-蘇鶚	12842	3692
KR3l0107	前定錄-唐-鍾輅	9682	2918
KR3l0108	桂苑叢談-唐-馮翊子	4690	2029
KR3l0109	劇談錄-唐-康駢	16603	4485
KR3l0110	宣室志-唐-張讀	39843	5947
KR3l0111	唐闕史-唐-高彥休	16838	4625
KR3l0112	甘澤謠-唐-袁郊	6731	2564
KR3l0113	開天傳信記-唐-鄭綮	4224	1922
KR3l0114	稽神錄-宋-徐鉉	20711	4393
KR3l0115	江淮異人錄-宋-吳淑	5202	2045
KR3l0116	茅亭客話-宋-黃休復	23382	5549
KR3l0117	括異志-宋-	25425	5144
KR3l0118	太平廣記-宋-李昉	1569766	7788
KR3l0119	分門古今類事-宋-闕名	83729	9812
KR3l0120	陶朱新錄-宋-馬純	10593	3431
KR3l0121	睽車志-宋-郭彖	20531	4714
KR3l0122	夷堅志甲-宋-洪邁	138950	11391
KR3l0123	博物志-晉-張華	13148	4024
KR3l0124	述異記-梁-任昉	9948	3043
KR3l0125	西陽雜俎-唐-段成式	92642	10365
KR3l0126	續幽怪錄-唐-	13835	3553
KR3l0127	清異錄-宋-陶穀	31983	6372
KR3l0128	續博物志-宋-李石	17731	5106
KR4a0001	楚辭-漢-王逸	13382	3248
KR4a0002	楚辭章句-漢-王逸	145138	10539
KR4a0003	楚詞補注-宋-洪興祖	151313	11012
KR4a0005	離騷草木疏-宋-吳仁傑	18305	3340
KR4a0006	欽定補繪蕭雲從離騷全圖-清-蕭雲從	16388	3929
KR4b0001	揚子雲集-漢-揚雄	60357	8650
KR4b0002	蔡中郎集-漢-蔡邕	43705	7454
KR4b0003	孔北海集-漢-孔融	15822	4124
KR4b0004	曹子建集-魏-曹植	27873	5550
KR4b0005	嵇中散集-魏-嵇康	28342	5332
KR4b0006	陸士衡文集-晉-	25616	4995
KR4b0007	陸士龍文集-晉-陸雲	34086	5233
KR4b0008	陶淵明集-晉-陶潛	25965	5490
KR4b0009	箋註陶淵明集-晉-	34720	6342
KR4b0010	璇璣圖詩讀法-明-康萬民	9132	1425
KR4b0011	鮑明遠集-劉宋-鮑照	22157	4513
KR4b0012	謝宣域集-南齊-謝眺	14897	3628
KR4b0013	昭明太子集-梁-蕭統	18346	4575
KR4b0014	何水部集-梁-何遜	9871	3097
KR4b0015	江文通集-梁-江淹	41522	6455
KR4b0016	梁江文通文集-梁-	41922	6250
KR4b0017	庾開府集箋註-北周-庾信	225392	14222
KR4b0018	庾子山集-北周-庾信	407284	16407
KR4b0019	徐孝穆集箋注-陳-徐陵	105583	11656
KR4c0001	東臯子集-唐-王績	11129	3611
KR4c0002	寒山詩集-唐-釋寒山	14912	3909
KR4c0003	王子安集-唐-王勃	63255	8117
KR4c0004	盈川集-唐-楊炯	48506	7840
KR4c0005	盧昇之集-唐-盧照鄰	23560	5488
KR4c0006	駱丞集-唐-駱賓王	137163	12381
KR4c0007	駱賓王文集-唐-	26622	5187
KR4c0008	陳拾遺集-唐-陳子昂	62553	8392
KR4c0009	張燕公集-唐-張說	109533	11154
KR4c0010	李北海集-唐-李邕	25499	5687
KR4c0011	曲江集-唐-張九齡	78936	9020
KR4c0012	李太白文集-唐-李白	96244	9372
KR4c0013	李太白集分類補註-唐-李白	386556	13666
KR4c0014	李太白集注-唐-李白	501879	18182
KR4c0015	九家集注杜詩-唐-杜甫	498483	17323
KR4c0016	唐皇甫冉詩集-唐-	15777	3364
KR4c0017	補注杜詩-唐-杜甫	470098	16858
KR4c0018	集千家註杜工部詩集-唐-杜甫	438537	16509
KR4c0019	杜詩攟-明-唐元竑	42670	6911
KR4c0020	杜詩詳註-清-仇兆鰲	813791	19251
KR4c0021	須溪先生校本唐王右丞集-唐-	23177	4663
KR4c0022	王右丞集箋注-唐-王維	254633	16298
KR4c0023	高常侍集-唐-高適	21426	4885
KR4c0024	常建詩-唐-常建	4125	1772
KR4c0025	孟浩然集-唐-孟浩然	13432	3421
KR4c0026	唐儲光羲詩集-唐-儲光羲	14797	3922
KR4c0027	次山集-唐-元結	31854	5484
KR4c0028	顏魯公集-唐-顏眞卿	64192	8961
KR4c0029	岑嘉州詩-唐-	24869	4577
KR4c0030	宗玄集-唐-吳筠	23147	4893
KR4c0031	杼山集-唐-釋皎然	42131	6320
KR4c0032	劉隨州集-唐-劉長卿	32301	4598
KR4c0033	韋蘇州集-唐-韋應物	39455	5569
KR4c0034	毗陵集-唐-獨孤及	82133	9799
KR4c0035	蕭茂挺文集-唐-蕭穎士	14148	4399
KR4c0036	李遐叔文集-唐-李華	46736	8309
KR4c0037	錢仲文集-唐-錢起	24013	4143
KR4c0039	翰苑集-唐-陸贄	99350	8447
KR4c0040	權文公集-唐-權德輿	26225	5102
KR4c0041	權載之文集-唐-	185027	12428
KR4c0042	韓集擧正-宋-方崧卿	75849	8415
KR4c0043	原本韓集考異-宋-朱熹	93656	9112
KR4c0044	別本韓文考異-唐-韓愈	274537	15574
KR4c0045	五百家注昌黎文集-唐-韓愈	344569	16879
KR4c0046	東雅堂昌黎集註-唐-韓愈	323604	16554
KR4c0047	韓集點勘-清-陳景雲	19246	4162
KR4c0048	柳河東集-唐-柳宗元	262416	15400
KR4c0049	柳河東集注-唐-柳宗元	221244	14456
KR4c0050	五百家註柳先生集-唐-柳宗元	188057	13844
KR4c0051	劉賓客文集-唐-劉禹錫	128988	11683
KR4c0052	呂衡州集-唐-呂溫	37211	6920
KR4c0053	張司業集-唐-張籍	25089	4478
KR4c0054	皇甫持正集-唐-皇甫湜	17598	4673
KR4c0055	李文公集-唐-李翱	41734	7093
KR4c0056	歐陽行周文集-唐-歐陽詹	29763	6071
KR4c0057	李元賓文編-唐-李觀	20933	5224
KR4c0058	孟東野詩集-唐-孟郊	32582	5283
KR4c0059	長江集-唐-賈島	18517	3623
KR4c0061	歌詩編-唐-	16588	3830
KR4c0062	箋註評點李長吉歌詩-唐-李賀	42535	7012
KR4c0063	絳守居園池記-唐-樊宗師	7814	2074
KR4c0064	王司馬集-唐-王建	20797	3991
KR4c0065	沈下賢集-唐-沈亞之	36186	6387
KR4c0066	追昔遊集-唐-李紳	11758	3384
KR4c0067	會昌一品集-唐-李德裕	112317	10908
KR4c0068	元氏長慶集-唐-元禛	131403	11848
KR4c0069	白氏長慶集-唐-白居易	344528	15325
KR4c0070	白香山詩集-唐-白居易	234240	13041
KR4c0071	鮑溶詩集-唐-鮑溶	10420	3019
KR4c0072	樊川集-唐-杜牧	88643	10112
KR4c0073	姚少監詩集-唐-姚合	25842	4375
KR4c0074	李義山詩集-唐-李商隱	31528	5581
KR4c0075	李義山詩集注-唐-李商隱	102839	11087
KR4c0076	李義山文集箋註-唐-李商隱	157655	13506
KR4c0077	溫庭筠詩集-唐-	16138	3697
KR4c0078	溫飛卿詩集箋注-唐-溫庭筠	77905	9470
KR4c0079	丁卯詩集-唐-許渾	26314	4163
KR4c0080	文泉子集-唐-劉蜕	9522	2978
KR4c0081	李羣玉詩集-唐-李羣玉	12962	3300
KR4c0082	黎嶽集-唐-李頻	12493	3210
KR4c0083	孫可之集-唐-孫樵	15970	4089
KR4c0084	麟角集-唐-王棨	16104	4314
KR4c0086	碧雲集-南唐-	15467	2972
KR4c0087	唐李推官披沙集-唐-	11397	3138
KR4c0088	文藪-唐-皮日休	31178	6031
KR4c0089	笠澤藂書-唐-陸龜蒙	22447	5753
KR4c0090	甫里集-唐-陸龜蒙	59078	8549
KR4c0091	咏史詩-唐-胡曾	25690	4689
KR4c0092	玉川子詩集-唐-	9753	3302
KR4c0093	宋之問集-唐-	11599	3169
KR4c0094	雲臺編-唐-鄭谷	18799	3326
KR4c0095	司空表聖文集-唐-司空圖	29894	5904
KR4c0096	司空表聖詩集-唐-	12005	3129
KR4c0097	朱慶餘詩集-唐-	8107	2219
KR4c0098	韓內韓別集-唐-韓偓	14900	3686
KR4c0099	唐風集-唐-杜荀鶴	14732	3234
KR4c0100	桂苑筆耕集-唐-	68401	7600
KR4c0101	唐秘書省正字先輩徐公釣磯文集-唐-	32553	6210
KR4c0102	唐英歌詩-唐-吳融	16474	3911
KR4c0103	唐黃先生文集-唐-	47136	7128
KR4c0104	玄英集-唐-方干	16507	3716
KR4c0105	黃御史集-唐-黃滔	49126	7536
KR4c0106	羅昭諫集-唐-羅隱	39315	7070
KR4c0107	徐正字詩賦-唐-徐寅	16284	4090
KR4c0108	甲乙集-唐-	19961	3980
KR4c0109	白蓮集-唐-釋齊己	41808	5372
KR4c0110	禪月集-唐-釋貫休	38462	6155
KR4c0111	浣花集-唐-韋莊	17393	3687
KR4c0112	廣成集-後蜀-杜光庭	45564	5114
KR4c0113	周賀詩集-唐-	3418	1234
KR4c0114	李丞相詩集-南唐-	4249	1557
KR4d0001	騎省集-宋-徐鉉	116259	10969
KR4d0002	河東集-宋-柳開	56616	7173
KR4d0003	咸平集-宋-田錫	96672	9940
KR4d0004	逍遙集-宋-潘閬	2970	1394
KR4d0005	乖崖集-宋-張詠	41377	7134
KR4d0006	忠愍集-宋-寇準	15759	3936
KR4d0007	法藏碎金錄-宋-晁迥	74268	7585
KR4d0008	道院集要-宋-晁迥	10363	2919
KR4d0009	小畜集-宋-王禹偁	132267	12145
KR4d0010	王黃州小畜外集殘-宋-	26027	6041
KR4d0012	武夷新集-宋-楊億	128019	11239
KR4d0013	林和靖集-宋-林逋	13564	3250
KR4d0014	穆參軍集-宋-穆修	13500	4230
KR4d0015	河南穆公集-宋-	16328	4551
KR4d0016	元獻遺文-宋-晏殊	4546	1943
KR4d0017	文莊集-宋-夏竦	140321	11649
KR4d0018	春卿遺稿-宋-蔣堂	3323	1707
KR4d0019	東觀集-宋-魏野	20564	4100
KR4d0020	元憲集-宋-宋庠	130993	11176
KR4d0021	景文集-宋-宋祁	290159	15488
KR4d0022	文恭集-宋-胡宿	166499	11232
KR4d0023	武溪集-宋-余靖	101301	10911
KR4d0024	安陽集-宋-韓琦	149061	11452
KR4d0025	范文正集-宋-范仲淹	250416	13955
KR4d0026	河南集-宋-尹洙	76748	8494
KR4d0027	孫明復小集-宋-孫復	7853	2440
KR4d0028	徂徠集-宋-石介	67390	9034
KR4d0029	端明集-宋-蔡襄	155417	12626
KR4d0030	祠部集-宋-強至	181114	10919
KR4d0031	鐔津集-宋-釋契嵩	108338	9921
KR4d0032	祖英集-宋-釋重顯	12336	3070
KR4d0033	雪竇顯和尚明覺大師頌古集-宋-	34268	4959
KR4d0034	蘇學士集-宋-蘇舜欽	65689	9110
KR4d0035	蘇魏公文集-宋-蘇頌	293151	14549
KR4d0036	沈氏三先生文集-宋-	149116	12883
KR4d0037	伐檀集-宋-黃庶	21579	4997
KR4d0039	古靈集-宋-陳襄	98966	10887
KR4d0040	傳家集-宋-司馬光	344986	15432
KR4d0042	盱江集-宋-李覯	158298	12308
KR4d0043	金氏文集-宋-金君卿	22627	5363
KR4d0044	公是集-宋-劉敞	210378	14129
KR4d0045	彭城集-宋-劉攽	174106	13408
KR4d0046	邕州小集-宋-陶弼	3461	1725
KR4d0047	都官集-宋-陳舜兪	65499	8965
KR4d0048	丹淵集-宋-文同	126245	11606
KR4d0049	西溪集-宋-沈遘	44930	6861
KR4d0050	鄖溪集-宋-鄭獬	117421	11526
